onset	duration	trial_type	value	sample
110.537	0.0	localizer Shoe onset	4	110537
113.239	0.0	localizer House onset	2	113239
115.592	0.0	localizer Shoe onset	4	115592
118.93	0.0	localizer Face distractor onset	101	118930
119.627	0.0	localizer sound coin	31	119627
121.63	0.0	fixation pre 2	82	121630
125.137	0.0	cue Chair	15	125137
128.485	0.0	sequence Cat onset	23	128485
128.722	0.0	sequence House onset	22	128722
128.956	0.0	sequence Chair onset	25	128956
129.189	0.0	sequence Shoe onset	24	129189
129.423	0.0	sequence Face onset	21	129423
129.657	0.0	Sequence Buffer start	61	129657
137.717	0.0	Sequence Buffer stop	62	137717
139.203	0.0	sequencesound coin	71	139203
139.706	0.0	cue Cat	13	139706
143.02	0.0	sequence Shoe onset	24	143020
143.191	0.0	sequence Chair onset	25	143191
143.358	0.0	sequence Face onset	21	143358
143.525	0.0	sequence House onset	22	143525
143.691	0.0	sequence Cat onset	23	143691
143.858	0.0	Sequence Buffer start	61	143858
152.232	0.0	Sequence Buffer stop	62	152232
153.222	0.0	sequencesound coin	71	153222
153.724	0.0	cue House	12	153724
157.037	0.0	sequence Shoe onset	24	157037
157.159	0.0	sequence Chair onset	25	157159
157.293	0.0	sequence Cat onset	23	157293
157.426	0.0	sequence Face onset	21	157426
157.56	0.0	sequence House onset	22	157560
157.693	0.0	Sequence Buffer start	61	157693
166.227	0.0	Sequence Buffer stop	62	166227
167.207	0.0	sequencesound coin	71	167207
167.709	0.0	cue Chair	15	167709
171.021	0.0	sequence Cat onset	23	171021
171.194	0.0	sequence Face onset	21	171194
171.361	0.0	sequence House onset	22	171361
171.528	0.0	sequence Shoe onset	24	171528
171.695	0.0	sequence Chair onset	25	171695
171.862	0.0	Sequence Buffer start	61	171862
180.248	0.0	Sequence Buffer stop	62	180248
181.025	0.0	sequencesound coin	71	181025
181.528	0.0	cue Cat	13	181528
184.843	0.0	sequence Chair onset	25	184843
184.979	0.0	sequence Face onset	21	184979
185.113	0.0	sequence Cat onset	23	185113
185.246	0.0	sequence Shoe onset	24	185246
185.379	0.0	sequence House onset	22	185379
185.513	0.0	Sequence Buffer start	61	185513
194.06	0.0	Sequence Buffer stop	62	194060
194.927	0.0	sequence sound error	70	194927
195.431	0.0	cue Face	11	195431
198.742	0.0	sequence Chair onset	25	198742
199.365	0.0	sequence Shoe onset	24	199365
199.982	0.0	sequence Face onset	21	199982
200.6	0.0	sequence House onset	22	200600
201.217	0.0	sequence Cat onset	23	201217
201.835	0.0	Sequence Buffer start	61	201835
207.977	0.0	Sequence Buffer stop	62	207977
209.162	0.0	sequence sound error	70	209162
209.663	0.0	cue Face	11	209663
212.977	0.0	sequence Chair onset	25	212977
213.216	0.0	sequence Shoe onset	24	213216
213.45	0.0	sequence Face onset	21	213450
213.684	0.0	sequence Cat onset	23	213684
213.917	0.0	sequence House onset	22	213917
214.151	0.0	Sequence Buffer start	61	214151
222.206	0.0	Sequence Buffer stop	62	222206
222.997	0.0	sequencesound coin	71	222997
223.5	0.0	cue Shoe	14	223500
226.812	0.0	sequence Face onset	21	226812
227.418	0.0	sequence Shoe onset	24	227418
228.036	0.0	sequence Cat onset	23	228036
228.653	0.0	sequence Chair onset	25	228653
229.271	0.0	sequence House onset	22	229271
229.889	0.0	Sequence Buffer start	61	229889
236.045	0.0	Sequence Buffer stop	62	236045
236.949	0.0	sequencesound coin	71	236949
237.449	0.0	fixation pre 1	81	237449
241.257	0.0	localizer Cat distractor onset	103	241257
242.755	0.0	localizer sound error	30	242755
244.645	0.0	localizer House onset	2	244645
248.2	0.0	localizer Chair onset	5	248200
251.788	0.0	localizer Chair onset	5	251788
255.393	0.0	localizer House onset	2	255393
259.165	0.0	localizer House distractor onset	102	259165
259.794	0.0	localizer sound coin	31	259794
262.669	0.0	localizer Shoe onset	4	262669
265.689	0.0	localizer Chair distractor onset	105	265689
266.336	0.0	localizer sound coin	31	266336
269.111	0.0	localizer Face onset	1	269111
273.282	0.0	localizer Chair onset	5	273282
276.003	0.0	localizer Cat onset	3	276003
279.508	0.0	localizer Face onset	1	279508
282.945	0.0	localizer Shoe distractor onset	104	282945
283.475	0.0	localizer sound coin	31	283475
285.182	0.0	localizer Cat onset	3	285182
288.636	0.0	localizer Chair onset	5	288636
291.523	0.0	localizer Shoe onset	4	291523
294.744	0.0	localizer House onset	2	294744
298.933	0.0	localizer Face onset	1	298933
302.021	0.0	localizer House onset	2	302021
305.091	0.0	localizer Cat onset	3	305091
307.995	0.0	localizer Cat onset	3	307995
310.982	0.0	localizer Shoe onset	4	310982
314.587	0.0	localizer Shoe onset	4	314587
317.875	0.0	localizer Face onset	1	317875
321.463	0.0	localizer Face distractor onset	101	321463
322.093	0.0	localizer sound coin	31	322093
323.779	0.0	fixation pre 2	82	323779
327.285	0.0	cue Chair	15	327285
330.598	0.0	sequence Cat onset	23	330598
330.754	0.0	sequence Face onset	21	330754
330.921	0.0	sequence House onset	22	330921
331.088	0.0	sequence Shoe onset	24	331088
331.255	0.0	sequence Chair onset	25	331255
331.422	0.0	Sequence Buffer start	61	331422
339.809	0.0	Sequence Buffer stop	62	339809
340.735	0.0	sequencesound coin	71	340735
341.237	0.0	cue Cat	13	341237
344.55	0.0	sequence Cat onset	23	344550
344.789	0.0	sequence House onset	22	344789
345.023	0.0	sequence Chair onset	25	345023
345.257	0.0	sequence Shoe onset	24	345257
345.49	0.0	sequence Face onset	21	345490
345.724	0.0	Sequence Buffer start	61	345724
353.778	0.0	Sequence Buffer stop	62	353778
354.537	0.0	sequencesound coin	71	354537
355.038	0.0	cue Cat	13	355038
358.352	0.0	sequence Shoe onset	24	358352
358.491	0.0	sequence Chair onset	25	358491
358.624	0.0	sequence Cat onset	23	358624
358.758	0.0	sequence Face onset	21	358758
358.891	0.0	sequence House onset	22	358891
359.025	0.0	Sequence Buffer start	61	359025
367.565	0.0	Sequence Buffer stop	62	367565
368.171	0.0	sequence sound error	70	368171
368.672	0.0	cue Cat	13	368672
371.987	0.0	sequence Shoe onset	24	371987
372.142	0.0	sequence Chair onset	25	372142
372.309	0.0	sequence Face onset	21	372309
372.476	0.0	sequence House onset	22	372476
372.643	0.0	sequence Cat onset	23	372643
372.81	0.0	Sequence Buffer start	61	372810
381.195	0.0	Sequence Buffer stop	62	381195
381.989	0.0	sequencesound coin	71	381989
382.49	0.0	cue Cat	13	382490
385.804	0.0	sequence Chair onset	25	385804
386.411	0.0	sequence Shoe onset	24	386411
387.028	0.0	sequence Face onset	21	387028
387.646	0.0	sequence House onset	22	387646
388.263	0.0	sequence Cat onset	23	388263
388.881	0.0	Sequence Buffer start	61	388881
395.034	0.0	Sequence Buffer stop	62	395034
395.891	0.0	sequencesound coin	71	395891
396.392	0.0	cue Cat	13	396392
399.706	0.0	sequence Chair onset	25	399706
399.845	0.0	sequence Face onset	21	399845
399.979	0.0	sequence Cat onset	23	399979
400.112	0.0	sequence Shoe onset	24	400112
400.246	0.0	sequence House onset	22	400246
400.379	0.0	Sequence Buffer start	61	400379
408.925	0.0	Sequence Buffer stop	62	408925
409.943	0.0	sequencesound coin	71	409943
410.445	0.0	cue Chair	15	410445
413.758	0.0	sequence Face onset	21	413758
414.364	0.0	sequence Shoe onset	24	414364
414.982	0.0	sequence Cat onset	23	414982
415.599	0.0	sequence Chair onset	25	415599
416.217	0.0	sequence House onset	22	416217
416.834	0.0	Sequence Buffer start	61	416834
422.998	0.0	Sequence Buffer stop	62	422998
423.877	0.0	sequencesound coin	71	423877
424.379	0.0	cue House	12	424379
427.692	0.0	sequence Chair onset	25	427692
427.915	0.0	sequence Shoe onset	24	427915
428.149	0.0	sequence Face onset	21	428149
428.387	0.0	sequence Cat onset	23	428387
428.616	0.0	sequence House onset	22	428616
428.85	0.0	Sequence Buffer start	61	428850
436.914	0.0	Sequence Buffer stop	62	436914
437.83	0.0	sequencesound coin	71	437830
451.681	0.0	Break stop	92	451681
451.691	0.0	fixation pre 1	81	451691
455.489	0.0	localizer Face onset	1	455489
459.412	0.0	localizer Shoe distractor onset	104	459412
459.991	0.0	localizer sound coin	31	459991
463.167	0.0	localizer Shoe onset	4	463167
466.804	0.0	localizer Face onset	1	466804
469.424	0.0	localizer Chair onset	5	469424
472.211	0.0	localizer Face onset	1	472211
476.05	0.0	localizer Cat onset	3	476050
479.504	0.0	localizer Cat onset	3	479504
481.941	0.0	localizer House onset	2	481941
485.295	0.0	localizer Shoe onset	4	485295
488.732	0.0	localizer Cat distractor onset	103	488732
489.296	0.0	localizer sound coin	31	489296
492.671	0.0	localizer Shoe onset	4	492671
495.859	0.0	localizer Chair onset	5	495859
498.662	0.0	localizer Shoe onset	4	498662
502.584	0.0	localizer House distractor onset	102	502584
503.114	0.0	localizer sound coin	31	503114
505.738	0.0	localizer Chair onset	5	505738
509.277	0.0	localizer House onset	2	509277
512.598	0.0	localizer House onset	2	512598
516.068	0.0	localizer Face distractor onset	101	516068
516.616	0.0	localizer sound coin	31	516616
519.523	0.0	localizer House onset	2	519523
522.877	0.0	localizer Cat onset	3	522877
525.948	0.0	localizer Chair distractor onset	105	525948
526.762	0.0	localizer sound coin	31	526762
529.503	0.0	localizer Chair onset	5	529503
532.941	0.0	localizer Cat onset	3	532941
535.994	0.0	localizer Face onset	1	535994
536.825	0.0	localizer sound error	30	536825
539.346	0.0	fixation pre 2	82	539346
542.852	0.0	cue Shoe	14	542852
546.165	0.0	sequence Chair onset	25	546165
546.772	0.0	sequence Shoe onset	24	546772
547.389	0.0	sequence Face onset	21	547389
548.007	0.0	sequence House onset	22	548007
548.624	0.0	sequence Cat onset	23	548624
549.242	0.0	Sequence Buffer start	61	549242
555.402	0.0	Sequence Buffer stop	62	555402
556.218	0.0	sequencesound coin	71	556218
556.72	0.0	cue Cat	13	556720
560.034	0.0	sequence Face onset	21	560034
560.657	0.0	sequence Shoe onset	24	560657
561.274	0.0	sequence Cat onset	23	561274
561.892	0.0	sequence Chair onset	25	561892
562.509	0.0	sequence House onset	22	562509
563.127	0.0	Sequence Buffer start	61	563127
569.267	0.0	Sequence Buffer stop	62	569267
570.02	0.0	sequencesound coin	71	570020
570.522	0.0	cue Chair	15	570522
573.835	0.0	sequence Cat onset	23	573835
573.991	0.0	sequence Face onset	21	573991
574.158	0.0	sequence House onset	22	574158
574.325	0.0	sequence Shoe onset	24	574325
574.491	0.0	sequence Chair onset	25	574491
574.658	0.0	Sequence Buffer start	61	574658
583.053	0.0	Sequence Buffer stop	62	583053
584.005	0.0	sequencesound coin	71	584005
584.507	0.0	cue House	12	584507
587.82	0.0	sequence Chair onset	25	587820
588.059	0.0	sequence Shoe onset	24	588059
588.293	0.0	sequence Face onset	21	588293
588.527	0.0	sequence Cat onset	23	588527
588.76	0.0	sequence House onset	22	588760
588.994	0.0	Sequence Buffer start	61	588994
597.074	0.0	Sequence Buffer stop	62	597074
597.973	0.0	sequencesound coin	71	597973
598.476	0.0	cue Shoe	14	598476
601.788	0.0	sequence Cat onset	23	601788
602.028	0.0	sequence House onset	22	602028
602.261	0.0	sequence Chair onset	25	602261
602.495	0.0	sequence Shoe onset	24	602495
602.729	0.0	sequence Face onset	21	602729
